"cor","edad","Region","zona_rec","GSEo","sexo","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12a","P12b","P12c","P13a","P13b","P13c","P13d","P13e","P13f","P13g","P13h","P13i","P13j","P14","P15a","P15b","P15c","P15d","P16a","P16b","P17a","P17b","P17c","P17d","P17e","P17f","P17g","P17h","P17i","P17j","P17k","P17L","P17m","P17n","P17o","P17p","P17q","P17r","P17s","P17t","P17u","P18","P19","P20","P21","P22","P23","P24","P25a","P25b","P25c","P25d","P25e","P25f","P25g","P25h","P25i","P26","P27a","P27b","P27c","P27d","P27e","P27f","P27g","P28","P29","P30","P31","P32","P33a","P33b","P33c","P33d","P33e","P33f","P33g","P34a","P34b","P34c","P34d","P34e","P34f","P35","P36","P37","P38","P39a","P39b","P39c","P39d","P39e","P39f","P39g","P39h","P39i","P40","P41","P42a","P42b","P42c","P42d","P42e","P42f","P42g","P42h","P43","P44","P45","P46","P47","P48a","P48b","P48c","P48d","P48e","P48f","P48g","P48h","P48i","P48j","P49","P50a","P50b","P50c","P50d","P50e","P50f","P50g","P50h","P50i","P50j","P50k","P50L","P50Lo","P51","P52a","P52b","P52c","P52d","P52e","P52f","P52g","P52h","P52i","P52j","P52k","P52L","P53","P54a","P54b","P54c","P54d","P54e","P54f","P55","P56","P57","P58","P59","P60a","P60b","P60c","P60d","P60e","P60f","P61","P62_1","P62_2","P63a","P63b","P63c","P63d","P63e","P63f","P63g","P63h","P63i","P63j","P63k","P63L","P63m","P63n","P63o","P63p","P63q","P63r","P64a","P64b","P64c","P64d","P64e","P64f","P64g","P64h","P64i","P64j","P65","P66","P67","P68a","P68b","P68c","P68d","P69a","P69b","P69c","P69d","P69e","P69f","P69g","P70a","P70b","P70c","P70d","P71_1","P71_2","P71_3","P71_4","P72","P73a","P73b","P73c","P73d","P74a","P74b","P74c","P74d","P74e","P75","P76a","P76b","P77","P78","P79","P80","P81","P82","P83","P84","P85","P86","P87","P88","P89","P90","P91a","P91b","P91c","P91d","P92a","P92b","P92c","P93","P94","P95","P96","P97p","P97m","P98a","P98b","P98c","P98d","P98e","P98f","P98g","P98h","P98i","P98j","P98k","P98L","P98Lo","P99","P100","P101","P102","P103","P104","P105","P106","P107","P108","P109","P110","P111","P112","P113","P114","P115","P116a","P116b","P116c","P116d","P116e","P116f","P116g","P116h","P117","P118","P119","P120","P121","P122","P123a","P123b","P123c","P123d","P123e","P124a","P124b","P124c","P124d","P125","P126a","P126b","P126c","P127","P128","P129","P130","P131","P132","P133a","P133b","P134","P135","P136a","P136b","P136c","P136d","P136e","P137","P138","P139a","P139b","P139c","P139d","P140","P141","P142","P143","P144","P145","P146","P147","P148","P149","P150a","P150b","P150c","P150d","P150e","P150f","P150g","P150h","P150i","P150j","P151","NSE_imput","pond","macrozona","p78f","P78a1","P78a2","P79c","P71_1CA","P71_2CA","P71_3CA","P71_4CA"
2527,4,5,1,3,2,62,5,,1,1,1,1,1,2,2,3,2,2,2,1,3,2,4,4,4,3,4,4,4,3,3,4,4,4,2,3,7,4,4,4,4,3,2,1,1,1,2,3,1,3,1,1,1,3,3,2,3,1,2,4,2,2,2,2,3,3,3,3,3,2,4,4,4,2,2,2,2,2,1,2,2,5,2,2,10,2,3,10,10,10,10,10,10,2,2,7,7,7,7,2,,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,3,2,2,1,1,1,1,1,1,3,1,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,7,4,3,1,9,2,1,1,10,9,10,10,1,1,6,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,3,3,4,3,3,2,3,2,6,2,3,2,3,1,2,3,3,4,2,2,"GOLPE DE ESTADO 73",,,,3,3,1,2,1,3,5,5,6,7,3,6,7,3,"SALVADOR ALLENDE","ERA DERECHO EN SUS COSAS SIEMPRE LUCHO POR LOS POBRES",2,2,2,2,3,4,,2,3,2,3,4,4,4,4,4,4,5,6,1,1,,6,6,3,2,3,2,2,3,2,1,2,3,3,3,,1,4,1,,1,2,1,1,"BACHELETE",77,3,6,7,6,5,7,7,1,1,1,1,1,1,1,1,6,3,4,1,3,2,3,3,4,2,2,2,2,,1,3,3,3,3,2,10,1,3,1,2,2,3,5,3,2,2,2,1,1,4,3,2,2,4,4,1,3,2,2,3,2,1,2,2,10,1,1,1,1,2,2,1,2,2,2,1,4,0.477756236076961,2,4,2,2,5,3,,,
2529,4,5,1,3,1,58,3,4,3,1,1,1,1,1,1,2,2,2,2,1,1,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,1,1,4,5,5,2,1,1,1,1,2,5,5,5,6,2,1,2,2,1,1,15,5,8,3,3,1,2,2,1,2,2,2,1,2,4,4,2,2,3,1,3,1,2,2,5,2,2,10,1,10,10,10,10,10,10,10,1,1,7,7,4,4,2,,2,2,1,1,1,1,1,1,1,1,1,1,3,2,4,2,2,2,2,2,2,2,1,3,2,1,1,3,3,1,1,2,1,1,3,1,2,2,1,2,1,1,2,2,1,1,2,1,2,,2,10,1,1,1,6,1,1,6,1,10,1,1,2,7,5,4,7,7,4,1,10,7,1,2,10,10,10,10,8,1,7,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,4,10,5,2,4,2,2,2,3,1,2,3,3,2,2,2,"TERREMOTO 2010","HACER EL SERVICIO MILITAR 1974",,,1,3,3,3,1,4,5,5,6,5,3,5,7,4,"ABRAHAN LINCO","HIZO MUCHAS COSAS POR LA DESIGUALDAD",1,2,3,2,2,4,,2,3,2,3,4,4,4,4,4,4,5,6,1,2,6,6,6,2,2,3,2,2,2,2,2,2,2,2,3,,1,4,1,,1,2,1,1,"PARISI",77,3,4,4,4,4,7,7,3,1,1,3,3,1,3,1,4,4,3,2,6,2,3,2,4,3,3,2,2,2,2,,,,,,8,,4,1,1,2,3,5,2,4,2,2,2,4,2,3,4,3,3,4,1,2,2,1,3,7,,1,,,1,1,2,1,1,1,2,2,2,2,4,4,1.42429540428583,2,20,4,4,2,1,4,,
2531,4,5,1,3,1,61,3,3,8,1,1,1,1,1,1,3,3,3,3,1,3,4,4,4,3,3,2,4,4,3,3,3,4,3,2,3,4,4,5,6,5,2,3,1,1,3,6,3,4,4,3,3,2,5,5,5,3,11,1,8,4,3,1,3,5,1,6,2,2,1,5,6,5,2,2,1,2,1,1,2,2,5,2,3,6,1,10,10,10,10,5,10,10,1,1,7,7,5,5,2,,1,3,1,1,1,1,1,1,2,1,2,2,3,5,5,2,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,3,1,2,1,1,1,2,2,2,1,1,1,2,,2,6,2,3,1,1,1,1,2,1,10,1,5,1,7,4,4,6,7,3,3,9,6,2,1,9,9,9,8,7,1,6,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,1,3,3,3,2,2,3,8,6,7,6,1,1,2,2,2,1,2,2,4,2,2,"EL LUCRO POR LA EDUCACIÓN","LA FALTA JUSTICIA JUSTA",,,1,3,2,2,3,2,5,5,6,4,3,7,7,4,"OBAMA","ES UNA PERSONA JOVEN QUE GOBIERNA BIEN EL MUNDO",1,7,2,2,2,3,,3,3,1,3,4,3,4,4,3,3,2,3,,1,,3,6,2,2,3,2,2,3,2,9,2,2,2,3,,2,3,1,,1,2,1,1,"EVELYN MATTHEI",77,1,4,3,3,,,,1,1,1,2,2,1,1,1,6,5,2,1,2,2,5,2,3,4,5,2,1,2,2,3,2,2,3,,8,1,2,2,1,2,3,5,2,4,2,1,2,4,1,1,1,2,2,4,2,2,1,3,3,1,3,1,,,1,1,1,1,1,1,1,1,1,2,8,1,1.42429540428583,2,15,4,4,2,8,8,,
2539,4,5,1,4,1,61,3,4,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,4,4,4,4,4,3,3,3,2,3,3,2,6,6,4,4,4,,2,1,1,2,,5,3,3,4,3,3,3,3,4,4,2,2,5,5,3,3,4,3,3,2,3,3,3,3,3,3,,1,2,2,1,1,1,1,2,2,3,8,2,8,7,7,7,6,7,7,4,3,4,,,,2,,2,2,1,1,2,,1,1,1,3,,4,3,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,,3,8,8,8,8,7,8,7,6,5,1,1,1,1,4,5,4,3,4,4,1,8,4,3,2,7,7,6,,,,7,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,2,2,7,6,6,,,,,3,3,3,3,2,3,4,2,"EL GOLPE MILITAR DE 1973",,,,2,1,1,2,1,1,2,7,1,1,3,6,6,2,"8",,1,8,2,2,2,3,,1,2,2,8,,,3,3,3,3,3,1,,1,,1,1,2,3,3,3,3,2,2,2,2,2,2,3,,1,3,1,,2,1,1,1,"MICHELLE BACHELET",77,4,5,4,4,,5,3,1,1,1,1,1,1,1,1,4,3,5,1,4,1,5,4,3,4,5,2,2,2,2,,,,,,7,1,4,1,2,3,2,5,2,4,4,2,4,4,2,2,4,3,3,3,5,2,2,3,3,1,3,1,,,1,1,1,1,1,2,1,2,2,2,6,4,1.42429540428583,2,99,99,99,,3,,,
2540,4,5,1,4,2,56,4,,1,1,1,1,1,2,2,3,4,3,4,3,3,3,1,1,4,4,4,4,4,2,4,4,4,4,3,2,1,5,6,4,1,2,1,1,1,3,1,1,2,5,1,1,1,4,3,3,4,2,2,8,2,3,3,5,1,1,1,2,1,1,4,1,3,1,2,1,2,1,1,2,2,5,2,5,6,1,3,3,1,10,10,10,1,1,1,7,7,7,7,1,5,1,3,1,1,1,2,1,3,2,1,1,2,1,5,5,5,1,5,4,3,1,2,1,4,2,1,1,1,1,1,1,4,1,1,1,3,3,1,2,2,2,2,2,2,1,1,2,2,2,,1,3,1,1,1,10,1,1,1,1,1,1,1,1,6,5,1,1,1,7,1,5,5,1,2,1,5,6,1,1,1,10,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,3,4,4,4,10,1,10,1,1,1,4,1,1,4,1,4,2,2,2,"GOLPEDE ESTADO 1973",,,,1,1,,2,1,,7,6,6,6,,7,7,2,"9",,2,7,2,2,2,3,,1,3,1,3,3,3,4,4,2,3,5,6,1,1,,6,6,3,2,3,2,2,3,2,2,2,2,3,3,,1,3,1,,1,2,,1,"EVELYN",77,3,4,3,4,4,5,4,1,1,1,2,2,1,3,1,5,6,5,1,5,1,7,7,7,6,6,2,2,2,2,,,,,,7,1,5,2,2,2,2,5,2,4,4,2,2,2,3,3,4,1,4,2,1,3,1,2,5,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,4,0.477756236076961,2,99,99,99,,3,,,
2542,4,5,1,4,2,57,3,2,2,1,1,1,1,1,1,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,,6,1,1,1,1,1,6,1,1,1,1,4,1,5,,1,1,1,1,,,1,3,8,4,1,2,4,5,2,3,3,5,4,7,4,6,1,1,3,1,2,3,2,2,4,2,4,6,1,7,4,4,7,5,6,5,4,4,4,4,4,4,1,9,2,2,,,2,,,,2,2,2,,,4,4,2,4,4,4,2,2,2,3,5,2,1,1,1,1,,,3,3,2,,1,1,2,1,2,,2,2,2,1,1,2,1,2,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,7,1,7,7,7,2,2,3,8,2,1,7,6,9,7,7,7,5,1,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,9,8,4,4,2,,,4,3,,4,2,2,1,1,"1973 QUEDAR SIN ESTUDIOS",,,,2,4,2,1,1,7,6,1,8,2,3,7,,2,"ABRAHAM LINCON","PORQUE EL TENIA PRINCIPIOS CRISTIANOS",,5,2,3,,4,,5,3,8,3,4,4,4,4,3,4,5,6,1,1,,5,6,3,2,3,3,3,3,3,2,2,3,3,3,,,2,1,,1,,1,5,"CUALQUIERA",77,,6,6,2,5,,7,1,1,1,1,1,1,1,1,6,4,3,1,2,1,5,5,5,4,4,2,2,2,2,,,,,,5,1,3,1,1,1,1,4,3,2,5,2,2,2,2,3,4,4,3,4,4,3,1,2,,2,1,2,3,2,1,1,1,1,1,1,2,1,2,2,7,3,0.477756236076961,2,20,4,4,5,3,,,
2545,4,5,1,3,2,57,4,,4,1,1,1,1,1,2,3,1,1,1,2,2,3,3,3,3,3,4,4,4,3,3,4,3,3,2,3,3,1,5,1,5,4,1,1,1,1,4,6,6,6,5,1,1,1,1,5,5,12,3,8,5,3,3,2,4,4,3,4,4,1,2,2,3,2,2,1,1,1,2,2,2,5,2,3,5,2,10,10,9,8,8,8,8,1,1,3,3,4,4,1,8,2,2,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,,2,8,8,7,6,6,6,6,7,6,4,4,4,1,3,4,4,5,6,1,1,1,3,3,1,5,7,7,6,7,5,10,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,8,7,6,6,2,2,2,3,1,1,4,3,2,1,1,"LA MUERTE DE FELIPE CAMIROAGA","EL TERREMOTO 2010 EN CHILE",,,2,1,1,2,1,6,7,7,1,1,3,7,5,2,"MICHELLE BACHELETT","GRACIAS A ELLA SALIERON BONOS A LAS MADRES SOLTERAS Y POBRES AYUDA A LA GENTE",2,7,2,1,2,3,,2,2,8,8,3,4,3,3,3,,,2,,1,,6,2,2,2,3,3,2,3,2,2,1,1,3,3,,1,2,1,,1,2,1,1,"MICHELLE BACHELETT",10,,5,4,5,1,1,6,3,3,3,3,3,3,3,1,5,5,4,1,5,1,5,3,3,1,1,2,2,2,2,,,,,,7,2,7,2,2,1,2,5,2,4,4,2,4,5,2,2,3,3,2,2,5,2,2,2,3,1,3,2,3,3,1,1,2,1,1,1,1,1,2,2,5,3,0.477756236076961,2,1,3,3,2,9,1,,
2551,4,5,1,3,2,57,4,,4,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,2,2,3,4,3,3,3,2,2,2,4,3,7,7,7,5,,,5,,3,4,4,7,,,3,3,3,4,4,4,4,3,2,10,5,2,2,3,5,4,4,3,4,5,4,4,4,2,1,1,1,2,2,1,1,3,2,5,10,2,6,5,4,5,5,6,6,4,3,4,5,5,4,1,5,2,2,2,3,3,2,2,2,2,3,1,1,2,3,3,3,2,2,4,4,3,2,2,3,1,2,1,2,2,1,2,3,3,3,2,2,2,1,1,2,,,2,1,1,1,1,2,2,,3,5,4,4,4,3,4,4,3,3,2,2,2,1,6,6,4,4,5,5,1,9,4,2,1,5,7,7,7,4,5,9,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,8,7,6,6,2,2,3,2,2,2,2,2,2,3,2,"LA CAIDA DE LAS TORRES GEMELAS","GUERRA CIVIL EN SIRIA","GUERRA EN EGIPTO",,2,,3,3,3,4,7,2,1,4,3,6,5,2,"PAPA JUAN PABLO II","REPRESENTABA LA PAZ MUNDIAL",2,7,2,2,2,3,,2,2,2,2,4,3,3,,3,3,3,6,1,1,,6,6,2,2,2,2,2,3,2,2,2,2,2,3,,1,4,1,,1,2,1,1,"FRANCO PARISI",77,4,5,4,5,5,5,4,1,2,3,3,3,3,3,3,5,4,5,1,6,1,5,5,5,4,5,2,2,2,1,2,2,2,3,1,9,2,7,2,1,3,2,4,1,4,4,2,2,2,3,3,3,2,2,2,5,3,2,3,3,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,4,4,0.477756236076961,2,3,9,7,4,10,10,10,
2552,4,5,1,3,1,62,3,3,4,1,1,1,1,2,2,3,2,2,2,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,3,4,3,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,5,2,10,10,9,9,8,9,9,1,1,7,7,3,3,1,5,2,2,1,1,2,1,1,1,2,2,1,1,3,3,3,4,2,3,3,3,3,2,2,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,,,,2,1,2,2,2,,3,7,7,6,7,6,6,5,4,5,6,6,4,2,2,2,3,4,3,4,2,6,6,4,2,3,4,5,4,4,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,7,7,6,7,2,2,2,3,3,2,2,3,2,2,2,"MUERTE DE PERSONAJES PÚBLICOS",,,,2,3,2,2,1,4,5,7,6,1,2,4,5,4,"NELSON MANDELA","ES UN APERSONA QUE LO DIO TODO POR LA LIBERTAD DEL PAIS",2,6,2,3,3,4,,5,3,8,8,3,3,3,4,3,3,3,2,,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,,,,1,,1,2,1,1,"MARCO HENRIQUEZ OMINAMI",77,4,4,,4,,,,3,3,3,3,3,3,3,3,,4,5,1,5,2,1,1,2,2,2,2,2,2,2,,,,,,6,2,5,2,2,3,3,4,3,4,2,,,,2,2,2,2,2,3,5,2,1,1,3,7,,1,,,1,1,1,1,1,1,1,1,1,1,8,2,1.42429540428583,2,11,4,4,5,9,,,
2558,4,5,1,3,2,61,5,,8,1,1,1,1,2,1,1,1,2,1,3,3,3,3,1,3,3,3,3,2,2,3,3,3,2,2,3,,4,5,5,4,1,1,1,1,1,1,2,3,1,5,1,1,1,5,1,1,3,1,3,5,2,2,5,3,1,3,1,4,4,4,4,4,3,2,3,2,2,2,2,2,3,1,6,5,1,7,8,8,7,8,8,8,1,4,7,3,2,5,1,8,2,2,1,1,,1,2,1,2,1,1,1,3,4,4,3,4,4,4,1,3,1,3,3,2,2,4,2,2,2,4,4,1,4,3,3,1,2,2,2,2,2,2,2,2,1,2,1,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,7,6,7,1,10,4,3,2,7,8,10,7,8,5,7,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,8,8,8,4,1,2,2,3,2,4,4,2,2,3,3,"TERREMOTO 010","LA DETENCION DE MI HERMANO PARA EL 73",,,1,4,3,3,3,5,7,7,6,2,3,4,4,4,"9",,2,6,2,3,3,3,,3,2,1,1,3,4,4,4,5,5,5,1,,1,,1,1,2,2,3,3,2,3,3,2,2,2,3,3,,2,3,2,3,2,1,2,1,"BACHELET",10,3,4,5,5,4,5,5,1,1,1,3,3,1,3,1,3,3,3,1,1,1,4,2,3,1,4,2,2,2,2,,,,,,8,1,9,1,2,3,3,4,2,4,4,4,1,2,1,1,1,2,3,3,4,1,1,2,4,7,,1,,,1,1,1,1,1,1,1,1,1,2,9,1,0.477756236076961,2,99,99,99,,1,4,,
2560,4,5,1,3,2,58,4,,3,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,2,4,,1,1,1,1,1,3,4,4,4,1,3,6,5,3,3,,1,1,4,3,3,3,4,3,3,2,2,2,2,2,2,2,2,5,2,5,4,2,4,5,6,5,5,5,8,2,1,4,4,3,4,2,,1,3,1,3,1,2,3,3,1,1,2,1,1,4,4,4,4,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,1,3,3,3,2,2,2,2,2,2,2,1,2,1,2,2,2,,3,4,3,3,3,4,3,4,3,2,2,2,2,1,4,3,3,3,5,4,1,5,4,2,2,8,9,3,3,3,3,6,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,10,8,8,8,1,3,2,2,3,2,2,2,1,3,3,"11 DE SEP",,,,2,4,4,4,4,8,4,5,6,1,3,6,4,2,"OMINAMI","ES UNA PERSONA QUWE DEFIENDE LO  QUE PIENSA",2,5,2,2,3,4,,3,2,2,9,1,,4,4,1,4,4,6,1,1,,2,2,3,3,3,3,1,3,3,1,3,3,1,3,,1,4,1,,2,2,1,1,"OMINAMI",5,4,4,4,4,4,4,4,3,3,1,1,3,1,1,1,3,3,3,1,7,1,4,7,2,2,2,2,2,2,2,,,,,,5,2,6,2,2,3,3,1,3,2,2,2,2,2,3,3,4,3,4,4,5,2,2,,3,2,2,2,3,3,1,1,1,1,1,2,1,1,2,2,,3,0.477756236076961,2,25,1,1,5,3,,,
2570,4,5,1,4,1,61,3,4,4,1,1,1,1,2,1,3,2,2,3,1,1,1,2,3,3,4,4,4,4,3,,,4,4,2,,7,4,3,3,2,3,1,,,,,7,7,7,4,2,2,6,5,5,5,14,2,2,5,3,1,10,3,3,3,,,,5,4,4,1,1,1,1,1,,,,1,,1,10,1,8,8,7,7,5,4,4,2,5,3,4,,,1,7,2,2,3,2,2,,,,2,2,2,2,4,5,5,5,5,5,4,4,4,2,,,2,3,1,1,,,,,,,,1,1,2,2,2,2,2,1,2,2,1,1,1,2,,3,7,6,1,1,1,1,1,1,2,3,2,1,1,4,3,,,,,1,7,7,1,1,4,5,5,,,3,6,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,,3,3,2,3,4,,9,1,2,3,,"EL GOKLPE DE ESTADO 1973",,,,1,1,1,2,1,4,2,7,1,1,3,5,4,2,"SALVADOR LLENDE","MANTUVO TRABAJOS Y PAGABAN BASTANTE BIEN",1,5,1,1,2,3,,2,,2,3,3,3,3,4,3,3,3,6,,1,,6,,8,8,8,8,1,2,1,1,1,1,2,3,,,4,1,,1,,1,1,"MICHELLE BACHELETT",77,3,5,5,6,4,4,,,,,,3,3,,2,5,4,4,2,4,1,3,4,,,,2,2,1,1,2,2,2,2,1,6,2,6,2,1,3,3,3,2,4,2,,,,3,3,3,2,2,1,3,3,2,2,4,2,2,1,,,1,1,2,2,2,2,1,2,2,2,2,4,1.42429540428583,2,4,2,2,2,3,,,
2574,4,5,1,4,2,64,4,,2,1,1,1,1,1,2,3,3,3,3,2,4,4,3,4,3,3,4,4,4,3,3,2,3,3,3,2,7,7,7,5,5,,5,1,,4,4,4,7,7,5,4,5,5,5,,,2,2,8,5,2,,3,2,2,1,2,2,3,3,4,4,2,1,1,3,3,3,1,1,,2,5,10,2,8,8,7,8,6,7,7,1,1,1,3,4,4,1,8,3,,1,1,2,,,,,2,,,,5,5,4,4,5,3,3,4,1,2,3,,3,,,4,1,1,1,4,4,1,1,3,1,2,2,2,2,2,2,1,1,2,1,2,,3,2,2,3,4,3,3,2,1,1,1,1,1,1,7,6,5,5,4,5,1,9,4,,,8,8,7,6,7,,6,88,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,8,6,5,7,1,1,3,2,3,2,9,3,3,,,"CUANDO LOS 33 MINEROS QUEDARON ATRAPADOS Y LUEGO RESCATADOS",,,,3,,,,3,,,,1,4,4,5,5,3,"8",,1,6,2,2,3,3,,2,1,8,1,3,3,3,3,3,3,4,6,1,1,,3,3,3,3,3,3,2,2,3,3,3,2,3,3,,,4,1,,1,2,1,1,"MARCOS ENRIQUEZ OMINAMI (MEO)",77,4,6,5,,5,6,5,1,1,3,3,3,3,3,3,5,,,1,5,1,3,3,4,4,4,2,2,2,2,,,,,,8,1,7,1,1,,,3,2,4,2,2,2,4,2,2,4,4,3,3,1,3,2,2,4,1,3,2,2,3,1,1,2,2,2,1,1,2,2,2,2,4,0.477756236076961,2,99,99,99,,9,,,
2583,4,5,1,2,2,57,4,,4,1,1,1,1,1,2,3,,,,1,4,4,2,2,4,4,4,4,4,4,3,3,3,3,1,2,1,4,4,4,4,1,1,1,1,4,6,4,4,5,3,4,5,5,5,5,5,11,2,5,4,2,3,5,5,4,5,5,5,4,4,5,5,1,2,1,2,1,1,2,2,2,2,5,5,1,4,1,7,6,8,7,5,5,3,6,7,6,6,2,,1,3,1,3,1,3,3,3,3,1,3,,,3,3,3,2,2,3,2,3,2,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,1,,,2,1,2,2,3,3,2,4,2,,3,3,3,1,4,5,4,4,4,5,1,7,1,4,2,4,5,5,5,5,5,6,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,6,7,6,6,3,3,3,2,1,3,3,3,3,3,3,"LAS TORRES GEMELAS",,,,1,4,3,3,1,,7,4,4,4,3,5,6,4,"9",,1,4,2,2,2,4,,5,2,1,1,3,3,4,4,5,5,5,6,1,1,,6,6,3,3,3,3,3,3,3,3,3,3,3,3,,,3,1,,2,2,1,,"MATTHEI EVELYN",77,4,3,2,3,2,1,3,3,3,4,4,4,2,3,3,5,4,4,2,6,1,6,5,5,5,5,,,,,,,,,,7,1,5,1,2,3,2,6,1,4,2,2,4,4,1,1,1,2,1,1,1,3,2,2,3,1,3,2,4,4,1,1,2,2,2,2,2,2,2,2,5,4,0.477756236076961,2,99,99,99,,10,,,
2585,4,5,2,4,2,59,4,,1,1,1,4,1,2,2,2,2,3,2,1,3,4,3,2,4,4,4,4,4,3,3,3,3,3,,4,1,1,,4,4,1,1,1,1,4,6,4,3,6,4,4,4,4,4,1,1,11,3,4,3,2,2,2,3,1,3,4,2,2,2,3,3,1,3,3,2,2,3,2,2,3,2,1,9,1,10,9,9,9,9,9,9,4,4,5,5,6,5,2,,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,3,3,5,2,3,1,2,3,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,,1,1,2,2,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,4,4,5,5,1,10,1,2,2,4,6,5,6,6,6,6,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,9,8,7,7,3,3,3,3,1,2,2,4,3,3,3,"GOLPE MILITAR, DETUVIERONA MI CUÑADO",,,,1,3,3,2,1,1,7,7,1,5,3,7,7,3,"TOMAS ARANDA ALCALDE","SE PROCUPO DE LOS POBRES",2,4,3,2,2,4,,3,2,2,1,4,4,4,4,5,5,5,6,1,1,,6,6,3,3,3,3,3,3,3,3,3,3,3,3,,,3,1,,2,2,1,1,"BACHELET",77,4,6,4,2,5,3,5,3,3,3,4,4,3,3,3,2,2,2,1,6,1,1,2,2,2,2,2,2,2,2,,,,,,9,1,3,1,1,2,4,4,1,5,4,2,4,5,4,4,1,2,2,2,1,3,1,1,5,1,3,2,1,3,1,2,2,2,2,1,1,2,2,2,1,4,0.459634287764935,2,88,1,1,2,3,,,
